;TeamNr;;;;;;;;;;;;;;;;;;;;;
540;19;0;1;1;3;0;3;;;;;;;;;;;;;;;
644;19;3;0;1;1;0;3;;21;18;20;20;18;25;;6;4;8;6;6;8;
331;19;1;0;0;1;3;3;;5;3;3;3;5;5;;6;6;6;6;6;6;
;;619;598;561;537;159;279;573;619;598;561;537;159;279;573;619;598;561;537;159;279;573
619;20;1;1;3;1;0;3;0;8;9;8;8;9;10;8;9;8;8;8;7;9;8
598;20;1;3;3;1;0;1;0;13;15;15;13;10;14;10;8;9;9;9;7;9;7
561;20;1;3;3;1;0;1;0;5;6;5;4;4;5;5;8;8;8;7;6;8;7
537;20;;;;;;;;;;;;;;;;;;;;;
159;20;3;3;1;0;0;1;1;10;12;11;9;8;11;10;8;9;9;7;6;9;8
279;20;0;3;0;1;1;3;1;10;12;7;9;12;6;8;8;9;7;8;8;9;7
573;20;1;3;3;1;0;0;1;7;10;8;7;5;6;7;9;10;10;9;7;8;10
;;330;551;301;337;605;655;;330;551;301;337;605;655;;330;551;301;337;605;655;
330;21;3;1;3;1;0;0;;15;5;10;10;5;10;;8;6;7;7;5;6;
551;21;;;;;;;;;;;;;;;;;;;;;
301;21;3;1;3;1;0;0;;9;5;10;7;0;4;;9;5;10;7;0;4;
337;21;3;3;0;1;1;0;;7;6;5;7;6;6;;8;7;5;7;5;5;
605;21;;;;;;;;;;;;;;;;;;;;;
655;21;;;;;;;;;;;;;;;;;;;;;
;;545;544;335;610;616;173;;545;544;335;610;616;173;;545;544;335;610;616;173;
545;22;3;3;0;1;1;0;;12;14;4;13;12;10;;9;9;4;8;8;7;
544;22;3;3;1;0;1;0;;30;50;14;10;20;10;;6;7;5;4;6;4;
335;22;1;3;1;0;3;0;;8;10;6;6;10;4;;6;6;8;8;6;6;
610;22;0;3;3;1;0;1;;10;10;10;10;10;10;;10;10;10;10;10;10;
616;22;3;3;0;1;1;0;;14;15;5;10;13;6;;8;8;3;7;8;5;
173;22;3;0;0;1;3;1;;4;5;3;5;6;4;;8;9;7;8;8;8;
