616;15;3;1;0;1;0;3;;8;8;2;6;5;10;;9;9;3;7;6;10;
;;598;565;580;605;590;450;;598;565;580;605;590;450;;598;565;580;605;590;450;
598;16;3;0;1;1;3;0;;9;6;9;9;10;7;;9;9;9;9;10;7;
565;16;1;3;1;0;3;0;;14;12;10;5;16;5;;10;10;10;10;10;10;
580;16;1;3;0;3;1;0;;4;4;4;4;4;4;;10;10;10;10;10;10;
605;16;;;;;;;;;;;;;;;;;;;;;
590;16;1;3;1;0;3;0;;8;12;13;14;14;8;;7;8;8;8;8;7;
450;16;1;3;0;0;3;1;;4;3;3;2;6;4;;8;7;7;6;9;7;
;;268;304;251;607;577;587;;268;304;251;607;577;587;;268;304;251;607;577;587;
268;17;3;0;1;3;0;1;;25;8;15;30;8;20;;8;4;7;9;4;8;
304;17;3;0;1;3;0;1;;16;6;20;20;4;12;;8;8;10;8;6;6;
251;17;3;0;1;3;0;1;;10;5;10;10;5;10;;8;6;8;8;7;8;
607;17;3;0;1;1;0;3;;5;1;3;6;1;4;;9;3;5;8;3;8;
577;17;;;;;;;;;;;;;;;;;;;;;
587;17;3;0;1;3;0;1;;7;3;7;9;5;7;;10;4;7;10;4;10;
;;268;304;251;607;587;;;268;304;251;607;587;;;268;304;251;607;587;;
268;24;3;0;1;3;0;;;25;8;15;30;8;;;8;4;7;9;4;;
304;24;3;0;1;3;0;;;16;6;20;20;4;;;8;8;10;8;6;;
251;24;3;0;1;3;0;;;10;5;10;10;5;;;8;6;8;8;7;;
607;24;3;0;1;1;0;;;5;1;3;6;1;;;9;3;5;8;3;;
587;24;3;0;1;3;0;;;7;3;7;9;5;;;10;4;7;10;4;;
;;639;324;588;615;557;568;571;639;324;588;615;557;568;571;639;324;588;615;557;568;571
639;19;1;3;3;0;0;1;1;2;1;3;1;1;2;2;8;10;10;6;7;8;8
324;19;1;3;3;0;1;1;0;6;6;6;6;6;6;6;8;9;9;3;7;9;8
588;19;0;3;1;0;1;3;1;3;8;5;2;4;6;6;7;10;8;4;7;9;9
615;19;1;3;3;0;0;1;1;13;13;13;13;13;13;13;10;10;10;10;10;10;10
557;19;0;3;3;0;1;1;1;5;5;5;3;5;5;5;10;10;10;7;10;10;10
568;19;1;3;3;0;0;1;1;15;20;20;2;15;20;20;10;10;10;4;10;10;10
571;19;1;3;3;0;0;1;1;42;50;50;30;30;42;42;8;9;9;8;8;8;8
;;599;579;633;265;611;584;;599;579;633;265;611;584;;599;579;633;265;611;584;
599;20;3;1;1;0;3;0;;7;7;7;5;6;6;;10;10;10;10;10;10;
579;20;3;1;1;0;3;0;;12;8;10;5;14;6;;9;8;8;7;10;7;
633;20;3;1;3;0;1;0;;15;12;16;8;15;10;;9;8;9;7;9;7;
265;20;3;0;1;0;3;1;;17;12;19;12;12;15;;10;10;10;10;10;10;
611;20;3;1;1;0;3;0;;8;7;8;6;7;6;;10;10;10;10;10;10;
584;20;;;;;;;;;;;;;;;;;;;;;
;;613;610;327;603;536;650;;613;610;327;603;536;650;;613;610;327;603;536;650;
613;21;1;3;1;0;0;3;;10;11;12;12;9;12;;9;9;9;9;7;9;
610;21;1;3;0;3;0;1;;4;4;2;6;2;4;;7;8;5;9;6;6;
327;21;1;3;3;1;0;0;;20;20;20;20;20;20;;10;10;10;10;10;10;
603;21;1;3;0;3;0;1;;7;7;4;7;3;6;;8;8;5;8;2;7;
536;21;3;1;0;3;0;1;;11;11;10;12;10;10;;9;9;9;9;9;9;
650;21;1;3;0;3;0;1;;4;4;4;5;2;4;;9;10;9;10;7;9;
;;582;549;614;597;556;632;;582;549;614;597;556;632;;582;549;614;597;556;632;
582;22;1;3;1;0;3;0;;8;15;8;5;10;8;;9;10;9;8;9;8;
549;22;0;3;0;3;1;1;;15;24;15;12;10;8;;9;8;9;9;9;8;
614;22;1;3;1;0;3;0;;16;16;7;16;8;8;;10;10;9;10;10;10;
597;22;1;3;0;1;3;0;;3;6;3;3;4;3;;8;8;8;8;8;8;
556;22;0;3;3;1;1;0;;10;15;10;10;10;10;;10;10;10;10;10;10;
632;22;1;3;1;0;3;0;;10;20;10;10;15;10;;8;10;9;8;9;8;
;;635;627;606;551;566;299;553;635;627;606;551;566;299;553;635;627;606;551;566;299;553
635;23;3;1;1;1;3;0;0;9;7;10;10;10;7;5;9;7;7;6;8;4;3
627;23;3;0;3;1;1;0;1;20;5;20;15;12;15;10;9;5;9;7;8;7;8
606;23;3;1;1;1;3;0;0;12;8;8;7;8;6;7;10;8;9;8;9;4;7
551;23;3;0;1;1;3;1;0;21;14;17;18;21;16;13;8;7;7,5;7,5;8;7,5;6
566;23;3;1;1;1;3;0;0;7;3;5;6;7;2;4;9;6;9;8;9;4;7
299;23;1;0;1;1;3;3;0;20;20;30;30;30;30;20;7;7;7;7;7;7;7
553;23;3;0;3;1;1;1;0;;;;;;;;;;;;;;
;;268;304;251;607;587;;;268;304;251;607;587;;;268;304;251;607;587;;
268;18;3;0;1;3;0;;;25;8;15;30;8;;;8;4;7;9;4;;
304;18;3;0;1;3;0;;;16;6;20;20;4;;;8;8;10;8;6;;
251;18;3;0;1;3;0;;;10;5;10;10;5;;;8;6;8;8;7;;
607;18;3;0;1;1;0;;;5;1;3;6;1;;;9;3;5;8;3;;
587;18;3;0;1;3;0;;;7;3;7;9;5;;;10;4;7;10;4;;
